source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
/23,0,AURUM_UNITS,/23,0,None,1970-01-01,2099-12-31,
0/16,0,AURUM_UNITS,0/16,0,None,1970-01-01,2099-12-31,
pg/mL,0,AURUM_UNITS,pg/mL,44777638,UCUM,1970-01-01,2099-12-31,
Blood chemistry - general NOS,0,AURUM_UNITS,Blood chemistry - general NOS,0,None,1970-01-01,2099-12-31,
x10/ejac.,0,AURUM_UNITS,x10/ejac.,0,None,1970-01-01,2099-12-31,
degrees celcius,0,AURUM_UNITS,degrees celcius,586323,UCUM,1970-01-01,2099-12-31,
10^9/l,0,AURUM_UNITS,10^9/l,0,None,1970-01-01,2099-12-31,
g/L,0,AURUM_UNITS,g/L,0,None,1970-01-01,2099-12-31,
/24,0,AURUM_UNITS,/24,0,None,1970-01-01,2099-12-31,
/9,0,AURUM_UNITS,/9,0,None,1970-01-01,2099-12-31,
pH,0,AURUM_UNITS,pH,8482,UCUM,1970-01-01,2099-12-31,
1,0,AURUM_UNITS,1,0,None,1970-01-01,2099-12-31,
x10^9,0,AURUM_UNITS,x10^9,0,None,1970-01-01,2099-12-31,
GPCOG,0,AURUM_UNITS,GPCOG,0,None,1970-01-01,2099-12-31,
degrees celsius,0,AURUM_UNITS,degrees celsius,586323,UCUM,1970-01-01,2099-12-31,
100,0,AURUM_UNITS,100,0,None,1970-01-01,2099-12-31,
/L,0,AURUM_UNITS,/L,9254,UCUM,1970-01-01,2099-12-31,
/24 points,0,AURUM_UNITS,/24 points,0,None,1970-01-01,2099-12-31,
pk/yr,0,AURUM_UNITS,pk/yr,0,None,1970-01-01,2099-12-31,
year,0,AURUM_UNITS,year,9448,UCUM,1970-01-01,2099-12-31,
16-Jan,0,AURUM_UNITS,16-Jan,0,None,1970-01-01,2099-12-31,
h,0,AURUM_UNITS,h,0,None,1970-01-01,2099-12-31,
/litres,0,AURUM_UNITS,/litres,0,None,1970-01-01,2099-12-31,
16,0,AURUM_UNITS,16,0,None,1970-01-01,2099-12-31,
degrees centigrade,0,AURUM_UNITS,degrees centigrade,586323,UCUM,1970-01-01,2099-12-31,
/25,0,AURUM_UNITS,/25,0,None,1970-01-01,2099-12-31,
pmol/L,0,AURUM_UNITS,pmol/L,8729,UCUM,1970-01-01,2099-12-31,
year15,0,AURUM_UNITS,year15,0,None,1970-01-01,2099-12-31,
1/min,0,AURUM_UNITS,1/min,8541,UCUM,1970-01-01,2099-12-31,
Haematology,0,AURUM_UNITS,Haematology,0,None,1970-01-01,2099-12-31,
16-Feb,0,AURUM_UNITS,16-Feb,0,None,1970-01-01,2099-12-31,
/min,0,AURUM_UNITS,/min,8541,UCUM,1970-01-01,2099-12-31,
years,0,AURUM_UNITS,years,9448,UCUM,1970-01-01,2099-12-31,
degrees F,0,AURUM_UNITS,degrees F,9289,UCUM,1970-01-01,2099-12-31,
/26,0,AURUM_UNITS,/26,0,None,1970-01-01,2099-12-31,
points,0,AURUM_UNITS,points,9384,UCUM,1970-01-01,2099-12-31,
1/minute,0,AURUM_UNITS,1/minute,8541,UCUM,1970-01-01,2099-12-31,
Histology,0,AURUM_UNITS,Histology,0,None,1970-01-01,2099-12-31,
/minute,0,AURUM_UNITS,/minute,8541,UCUM,1970-01-01,2099-12-31,
21/30,0,AURUM_UNITS,21/30,0,None,1970-01-01,2099-12-31,
YR,0,AURUM_UNITS,YR,0,None,1970-01-01,2099-12-31,
/17,0,AURUM_UNITS,/17,0,None,1970-01-01,2099-12-31,
percent,0,AURUM_UNITS,percent,8554,UCUM,1970-01-01,2099-12-31,
Edinburgh PND Scale,0,AURUM_UNITS,Edinburgh PND Scale,0,None,1970-01-01,2099-12-31,
10*6/L,0,AURUM_UNITS,10*6/L,0,None,1970-01-01,2099-12-31,
IU,0,AURUM_UNITS,IU,0,None,1970-01-01,2099-12-31,
/mL,0,AURUM_UNITS,/mL,0,None,1970-01-01,2099-12-31,
22,0,AURUM_UNITS,22,0,None,1970-01-01,2099-12-31,
Yrs,0,AURUM_UNITS,Yrs,0,None,1970-01-01,2099-12-31,
/20,0,AURUM_UNITS,/20,0,None,1970-01-01,2099-12-31,
eu,0,AURUM_UNITS,eu,0,None,1970-01-01,2099-12-31,
percentage unit,0,AURUM_UNITS,percentage unit,8554,UCUM,1970-01-01,2099-12-31,
10*9,0,AURUM_UNITS,10*9,0,None,1970-01-01,2099-12-31,
